index,Attributes,Average absolute correlation between numeric attributes,Average examples per labelset,Average gain ratio,Bound,CVIR inter class,Cardinality,DefaultAccuracy,Density,Distinct labelsets,Diversity,Instances,Kurtosis cardinality,Labels,LxIxF,Max IR inter class,Max IR intra class,Max IR per labelset,Maximal entropy of labels,Mean examples per labelset,Mean of IR inter class,Mean of IR intra class,Mean of IR per labelset,Mean of entropies of labels,Mean of entropies of nominal attributes,Mean of kurtosis,Mean of mean of numeric attributes,Mean of skewness of numeric attributes,Mean of standard deviation of IR intra class,Mean of standard deviation of numeric attributes,Minimal entropy of labels,Number of binary attributes,Number of labelsets up to 10 examples,Number of labelsets up to 2 examples,Number of labelsets up to 5 examples,Number of labelsets up to 50 examples,Number of nominal attributes,Number of numeric attributes,Number of unconditionally dependent label pairs by chi-square test,Number of unique labelsets,Proportion of binary attributes,Proportion of distinct labelsets,Proportion of maxim label combination (PMax),Proportion of nominal attributes,Proportion of numeric attributes,Proportion of numeric attributes with outliers,Proportion of unique label combination (PUniq),Ratio of number of instances to the number of attributes,Ratio of number of labelsets up to 10 examples,Ratio of number of labelsets up to 2 examples,Ratio of number of labelsets up to 5 examples,Ratio of number of labelsets up to 50 examples,Ratio of unconditionally dependent label pairs by chi-square test,RatioTestToPower,RatioTotalToPower,RatioTrainToPower,RatioUnseenToTest,SCUMBLE,Skewness cardinality,Standard deviation of examples per labelset,Standard deviation of label cardinality,TotalDistinctClasses,UnseenInTrain,EPS,CDE,LP,BR,HOMER,Ada300,RAkEL2,CC,CLR,PSt,TREMLC,RFDTBR,TREMLCnew,MBR,CDN,ECCJ48,EBRJ48,SSM,RSMLCC
ng20,1006.0,,176.13636363636363,0.0,7750.0,0.041925436823135875,1.0291612903225806,0.053548387096774196,0.05145806451612903,44.0,0.00567741935483871,7750.0,106.1396619669461,20.0,155930000.0,1.1420911528150135,19.777479892761395,415.0,0.307135996680459,176.13636363636363,1.0699958885786172,18.4658876443293,147.86131991026085,0.2924930306594541,0.0,57.33387160907999,0.03204809850573974,6.604217496391573,3476.2,0.1640651961839498,0.2783954217153538,0.0,19.0,16.0,19.0,22.0,0.0,1006.0,187.0,13.0,0.0,0.00567741935483871,0.053548387096774196,0.0,1.0,0.9403578528827038,0.0016774193548387097,7.703777335984095,0.4318181818181818,0.36363636363636365,0.4318181818181818,0.5,0.9842105263157894,44.0,44.0,44.0,0.0,4.39849233562839e-06,4.842007510774097,184.8777963595868,0.17650393471848458,44.0,0.0,0.932,0.899,0.815,0.951,0.334,0.928,0.857,0.789,0.949,0.951,0.927,0.947,0.924,0.922,0.789,0.886,0.927,0.756,0.964
Arabic200,200.0,0.0018129423324589325,24.455307262569832,0.0018899393165951648,8755.0,0.6487969430113374,1.2535693889206168,0.1629925756710451,0.03133923472301542,358.0,0.04089091947458595,8755.0,3.723940932081509,40.0,70040000.0,22.815384615384616,133.69230769230768,1427.0,0.656304976999987,24.455307262569832,9.860237493903238,57.21064009381176,813.6155814771538,0.1821422325126045,0.0,145.65354393891457,0.03492166919417477,9.769331366070094,4103.1250306741695,0.21638303316675547,0.06318734909645694,0.0,279.0,208.0,260.0,313.0,0.0,200.0,229.0,161.0,0.0,0.04089091947458595,0.1629925756710451,0.0,1.0,0.92,0.018389491719017704,43.775,0.7793296089385475,0.5810055865921788,0.7262569832402235,0.8743016759776536,0.2935897435897436,358.0,358.0,358.0,0.0,0.025553611082524946,2.025835098900369,95.72304651359636,0.5000657892057359,358.0,0.0,0.929,0.871,0.819,0.962,0.236,0.956,0.796,0.772,0.977,0.981,0.929,0.97,0.918,0.961,0.91,0.931,0.975,0.781,0.958
genbase,1185.0,,12.166666666666666,0.0005931921302083198,292.0,0.06064285134370547,1.2568493150684932,0.2226027397260274,0.04654997463216642,24.0,0.0821917808219178,292.0,-2.0106936803736453,27.0,9342540.0,1.2863436123348018,291.0,65.0,0.7648916326406766,12.166666666666666,1.0521699189945177,43.68522223747214,22.383185471727135,0.23259538784011743,0.0110413102044447,0.0,0.0,0.0,132.40740740740742,0.0,0.0,1185.0,15.0,7.0,11.0,23.0,1185.0,0.0,34.0,5.0,1.0,0.0821917808219178,0.2226027397260274,1.0,0.0,0.0,0.017123287671232876,0.24641350210970464,0.625,0.2916666666666667,0.4583333333333333,0.9583333333333334,0.09686609686609686,24.0,24.0,24.0,0.0,0.0014835554714692873,0.008285370752041502,15.048994060143096,24.538964814024954,24.0,0.0,0.983,0.989,0.986,0.988,0.51,0.978,0.989,0.989,0.978,0.981,0.988,0.988,0.988,0.988,0.93,0.989,0.98,0.971,0.988
stackex_chess,585.0,,1.3373253493013972,0.00017510856261260873,670.0,0.831451275787491,2.3940298507462687,0.025373134328358207,0.010546387007692814,501.0,0.7477611940298508,670.0,-0.43829453031028953,227.0,88972650.0,159.0,669.0,17.0,0.790543994823736,1.3373253493013972,67.13866594677917,248.38005255502188,15.668050315729959,0.06904200306292672,0.0,110.54689433910653,0.042584513330782045,9.35622435100202,327.93392070484583,0.24290725445726222,0.0,0.0,497.0,478.0,491.0,501.0,0.0,585.0,465.0,436.0,0.0,0.7477611940298508,0.025373134328358207,0.0,1.0,1.0,0.6507462686567164,1.1452991452991452,0.9920159680638723,0.9540918163672655,0.9800399201596807,1.0,0.018127948228139255,501.0,501.0,501.0,0.0,0.2414541776964308,0.927134375976824,1.4668608218215375,1.2090689443171085,501.0,0.0,0.701,0.654,0.575,0.797,0.345,0.851,0.569,0.587,0.849,0.797,0.609,0.852,0.0,0.785,0.77,0.711,0.862,0.582,0.823
GpositiveGO,912.0,,28.5,0.002539249140065021,16.0,1.1683883075976853,1.0116959064327486,0.36257309941520466,0.25292397660818716,6.0,0.375,171.0,82.95245264521527,4.0,623808.0,8.0,20.375,62.0,0.9538936403541864,28.5,2.912295081967213,6.781288422131147,22.7438799815849,0.7377944158207849,0.0,0.0,0.00957987072945527,0.0,42.25381868338716,0.05579173580004769,0.2725736310282036,0.0,3.0,2.0,2.0,4.0,0.0,912.0,3.0,2.0,0.0,0.03508771929824561,0.36257309941520466,0.0,1.0,0.49451754385964913,0.011695906432748537,0.1875,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,6.0,6.0,6.0,0.0,0.002330129404235387,9.495402771186223,26.656768996510685,0.10782906372191194,6.0,0.0,0.983,0.977,0.956,0.974,0.953,0.989,0.96,0.952,0.966,0.989,0.986,0.991,0.751,0.979,0.96,0.978,0.989,0.968,0.985
PlantGO,3091.0,,14.636363636363637,0.0005670425497802386,322.0,0.8963693565133772,1.065217391304348,0.2701863354037267,0.08876811594202899,22.0,0.06832298136645963,322.0,10.58533206969448,12.0,11943624.0,22.75,79.5,87.0,0.8589810370425982,14.636363636363637,6.990633139734723,23.736086494445946,31.93188147636677,0.38019466705458527,0.0,0.0,0.006398058076845173,0.0,132.41666666666666,0.048987487794125914,0.09645482910708628,0.0,14.0,8.0,10.0,21.0,0.0,3091.0,7.0,5.0,0.0,0.06832298136645963,0.2701863354037267,0.0,1.0,0.5593659010029117,0.015527950310559006,0.10417340666450987,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.9545454545454546,0.10606060606060606,22.0,22.0,22.0,0.0,0.005033404626672127,4.3635742517719045,21.11773372514083,0.24729335300010263,22.0,0.0,0.951,0.914,0.87,0.937,0.873,0.959,0.931,0.863,0.962,0.972,0.967,0.961,0.965,0.927,0.928,0.952,0.979,0.862,0.963
GnegativeGO,1717.0,,30.6,0.0008187758682988951,256.0,1.3242091007375567,1.056644880174292,0.3681917211328976,0.1320806100217865,15.0,0.05859375,459.0,12.866668772650186,8.0,6304824.0,59.666666666666664,152.0,169.0,0.9647854874772229,30.6,17.20730120665831,43.12375002154282,63.70004824151883,0.45076586569958477,0.0,0.0,0.00435349186591088,0.0,168.87595244335967,0.03397637697669597,0.05683240450033059,0.0,10.0,5.0,8.0,12.0,0.0,1717.0,10.0,4.0,0.0,0.032679738562091505,0.3681917211328976,0.0,1.0,0.47233546884100175,0.008714596949891068,0.26732673267326734,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.8,0.35714285714285715,15.0,15.0,15.0,0.0,0.011670013770218722,4.6090782698375845,48.70701523736939,0.2314150183814,15.0,0.0,0.984,0.978,0.965,0.988,0.259,0.99,0.979,0.967,0.988,0.994,0.986,0.995,0.988,0.993,0.986,0.983,0.994,0.967,0.989
bibtex,1836.0,,2.154178674351585,0.0,2990.0,0.43293160955048315,2.362541806020067,0.06989966555183946,0.014858753496981554,1388.0,0.4642140468227425,2990.0,9.365087151331993,159.0,872852760.0,26.0,198.33333333333334,209.0,0.5586293734521983,2.154178674351585,12.005336572731245,91.04091372427285,175.75954754312747,0.10620568846109499,0.18385090050102162,0.0,0.0,0.0,1450.572327044025,0.0,0.04554235458544544,1836.0,1355.0,1188.0,1298.0,1386.0,1836.0,0.0,953.0,1064.0,1.0,0.4642140468227425,0.06989966555183946,1.0,0.0,0.0,0.3558528428093645,1.6285403050108933,0.9762247838616714,0.8559077809798271,0.9351585014409222,0.9985590778097982,0.07586975559270759,1388.0,1388.0,1388.0,0.0,0.09126604866278186,0.3082073240863115,6.6206931389052555,1.676895589003192,1388.0,0.0,0.799,0.729,0.0,0.853,0.665,0.853,0.548,0.766,0.901,0.905,0.825,0.912,0.76,0.8,0.758,0.808,0.898,0.65,0.876
slashdot,1079.0,5.6283874568665246e-05,17.476923076923075,0.00025412451866256694,2272.0,2.2824917152650035,1.1786971830985915,0.13204225352112675,0.053577144686299615,130.0,0.05721830985915493,2272.0,3.619278574749884,22.0,53932736.0,174.5,1135.0,300.0,0.6187990006746684,17.476923076923075,17.388577523038315,102.00012537729373,166.02104252657014,0.2632344284928414,0.0,227.11558177627748,0.007626796459945964,14.392307460739106,1014.2727272727273,0.07755523824497007,0.0,0.0,107.0,73.0,92.0,119.0,0.0,1079.0,46.0,55.0,0.0,0.05721830985915493,0.13204225352112675,0.0,1.0,0.9972196478220574,0.02420774647887324,2.1056533827618167,0.823076923076923,0.5615384615384615,0.7076923076923077,0.9153846153846154,0.19913419913419914,130.0,130.0,130.0,0.0,0.013725195330789301,2.6351692417898795,49.13219458134044,0.4087597331514447,130.0,0.0,0.862,0.78,0.732,0.894,0.731,0.886,0.796,0.741,0.887,0.916,0.786,0.905,0.778,0.892,0.759,0.802,0.882,0.653,0.887
tmc2007_500,500.0,,14.399497487437186,0.001804675071605324,11462.0,0.824696617064917,2.210696213575292,0.09108358052695864,0.10048619152614964,796.0,0.06944686791135928,11462.0,2.134671288189947,22.0,126082000.0,46.86206896551724,78.04827586206896,1044.0,0.9749913871895161,14.399497487437186,17.471565916404526,28.506497066273198,629.3760774751485,0.3636445478900484,0.1943914331061869,0.0,0.0,0.0,4675.954545454545,0.0,0.09789198963519088,500.0,681.0,509.0,626.0,768.0,500.0,0.0,160.0,361.0,1.0,0.06944686791135928,0.09108358052695864,1.0,0.0,0.0,0.031495376025126504,22.924,0.8555276381909548,0.6394472361809045,0.7864321608040201,0.964824120603015,0.6926406926406926,796.0,796.0,796.0,0.0,0.1943139156932662,0.8896130267870195,68.24535399172626,1.062162191682291,796.0,0.0,0.948,0.939,0.793,0.966,0.84,0.944,0.872,0.8,0.96,0.961,0.967,0.974,0.963,0.959,0.903,0.949,0.964,0.806,0.959
langlog,1004.0,,3.7423312883435584,0.0,610.0,1.059955309334521,1.2295081967213115,0.1180327868852459,0.01639344262295082,163.0,0.26721311475409837,610.0,2.430313944122276,75.0,45933000.0,72.0,609.0,72.0,0.5236796108776095,3.7423312883435584,23.973870528168003,180.55334971967156,52.57461725542106,0.10348358476692048,0.0,0.0,0.18042420482006383,0.0,295.0,0.34139784616960905,0.0,0.0,149.0,124.0,141.0,162.0,0.0,1004.0,78.0,100.0,0.0,0.26721311475409837,0.1180327868852459,0.0,1.0,0.08167330677290836,0.16393442622950818,0.6075697211155379,0.9141104294478528,0.7607361963190185,0.8650306748466258,0.9938650306748467,0.02810810810810811,163.0,163.0,163.0,0.0,0.05417519126148789,1.244303198239548,8.043279370465283,0.8123319353364833,163.0,0.0,0.775,0.643,0.589,0.713,0.322,0.836,0.732,0.573,0.839,0.824,0.623,0.842,0.698,0.737,0.685,0.736,0.806,0.559,0.802
stackex_philosophy,842.0,,1.5526315789473684,8.609980933592608e-05,1593.0,0.9888463527838549,2.256120527306968,0.05084745762711865,0.009682920718055656,1026.0,0.6440677966101694,1593.0,-0.4103375343843145,233.0,312524298.0,316.0,1592.0,81.0,0.7186517791371478,1.5526315789473684,74.90119297844444,376.5873430843736,73.70071802100559,0.06553214642611029,0.0,190.1302661758062,0.04771096230092171,11.456562866170863,781.0752676957593,0.29691327738110473,0.007583033693865665,0.0,1013.0,955.0,997.0,1024.0,0.0,842.0,730.0,882.0,0.0,0.6440677966101694,0.05084745762711865,0.0,1.0,1.0,0.5536723163841808,1.8919239904988123,0.9873294346978557,0.9307992202729045,0.9717348927875243,0.9980506822612085,0.0270090276750037,1026.0,1026.0,1026.0,0.0,0.22679404393275573,1.025557763197983,3.4369364354242924,1.1500226196319256,1026.0,0.0,0.751,0.655,0.0,0.819,0.395,0.851,0.612,0.587,0.807,0.82,0.712,0.834,0.67,0.83,0.773,0.718,0.867,0.588,0.791
reutersk500,500.0,,5.463636363636364,0.0,2404.0,1.46886206845151,1.4579866888519135,0.06697171381031614,0.0141552105713778,440.0,0.18302828618968386,2404.0,5.106080741676092,103.0,123806000.0,190.0,2403.0,161.0,0.3987695860367946,5.463636363636364,30.790692953386408,354.62941394146367,117.16827201313937,0.09182654791916064,0.0,0.0,0.0012681949309484182,0.0,1167.9708737864078,0.008698026814728163,0.0,0.0,400.0,324.0,378.0,428.0,0.0,500.0,211.0,277.0,0.0,0.18302828618968386,0.06697171381031614,0.0,1.0,0.872,0.11522462562396006,4.808,0.9090909090909091,0.7363636363636363,0.8590909090909091,0.9727272727272728,0.040167523320007614,440.0,440.0,440.0,0.0,0.05047813472145573,0.9485573483032941,16.75704859711127,0.8090099824576895,440.0,0.0,0.871,0.74,0.724,0.934,0.417,0.918,0.685,0.687,0.948,0.959,0.68,0.935,0.772,0.923,0.798,0.834,0.936,0.659,0.905
proteins_human,1538.0,0.013659793017898405,16.204545454545453,0.0028212902656251206,713.0,0.11907355262496415,1.2987377279102383,0.2720897615708275,0.09276698056501702,44.0,0.061711079943899017,713.0,-1.9981347139825771,14.0,15352316.0,1.4708333333333334,100.85714285714286,194.0,0.9116112010911024,16.204545454545453,1.1038808681745815,32.73217299688492,92.2748699871387,0.38012020494500703,0.0,26.1127632548311,15.760747351229316,2.022741584060654,290.35760794197057,15.16043984877125,0.0795819803515223,0.0,34.0,19.0,30.0,40.0,0.0,1538.0,21.0,15.0,0.0,0.061711079943899017,0.2720897615708275,0.0,1.0,0.8959687906371911,0.021037868162692847,0.4635890767230169,0.7727272727272727,0.4318181818181818,0.6818181818181818,0.9090909090909091,0.23076923076923078,44.0,44.0,44.0,0.0,0.005054482000763061,0.025950388877273828,36.98438217401216,11.42193173021219,44.0,0.0,0.978,0.958,0.77,0.873,0.745,0.974,0.783,0.769,0.89,0.903,0.978,0.89,0.981,0.876,0.773,0.972,0.976,0.907,0.977
Water_quality,16.0,,1.1294498381877023,0.027994088909187247,349.0,0.3240957896160459,5.080229226361031,0.014326647564469915,0.3628735161686451,309.0,0.8853868194842407,349.0,-0.43478764999379277,14.0,78176.0,2.8055555555555554,3.8472222222222223,5.0,0.9998519363143759,1.1294498381877023,1.7721586105440121,2.1437173871185426,4.741639697950378,0.8997476574310462,0.0,23.656960602232648,3.0473748350644643,3.1297401561308997,54.864014472229414,0.8434132020366087,0.7343577817985582,0.0,309.0,302.0,309.0,309.0,0.0,16.0,25.0,280.0,0.0,0.8853868194842407,0.014326647564469915,0.0,1.0,0.8125,0.8022922636103151,21.8125,1.0,0.9773462783171522,1.0,1.0,0.27472527472527475,309.0,309.0,309.0,0.0,0.04114435445436669,0.9339690937116667,0.46502951318281094,2.1640702269806957,309.0,0.0,0.706,0.736,0.622,0.749,0.652,0.707,0.703,0.622,0.74,0.723,0.771,0.775,0.767,0.753,0.688,0.74,0.746,0.638,0.731
PlantPseAAC,440.0,,14.636363636363637,0.0009027505776439844,322.0,0.8963693565133772,1.065217391304348,0.2701863354037267,0.08876811594202899,22.0,0.06832298136645963,322.0,10.58533206969448,12.0,1700160.0,22.75,79.5,87.0,0.8589810370425982,14.636363636363637,6.990633139734723,23.736086494445946,31.93188147636677,0.38019466705458527,0.0,13.702475866990804,0.22726764539808011,2.5653192306514665,132.41666666666666,0.19727627439167664,0.09645482910708628,0.0,14.0,8.0,10.0,21.0,0.0,440.0,7.0,5.0,0.0,0.06832298136645963,0.2701863354037267,0.0,1.0,0.8136363636363636,0.015527950310559006,0.7318181818181818,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.9545454545454546,0.10606060606060606,22.0,22.0,22.0,0.0,0.005033404626672127,4.3635742517719045,21.11773372514083,0.24729335300010263,22.0,0.0,0.777,0.732,0.643,0.773,0.623,0.797,0.514,0.517,0.766,0.839,0.82,0.818,0.826,0.756,0.568,0.77,0.774,0.588,0.789
Yelp,671.0,,111.40625,0.000907958431866077,32.0,0.9713383511087215,1.620476858345021,0.194109396914446,0.3240953716690042,32.0,1.0,3565.0,0.06418337818207474,5.0,11960575.0,8.054054054054054,12.764478764478765,230.66666666666666,0.9789854150014451,111.40625,2.9913681484403924,4.252565445593374,46.032428081148325,0.8012297045113901,0.2583681335897409,0.0,0.0,0.0,748.5002366882945,0.0,0.3757388428933246,671.0,9.0,0.0,3.0,19.0,671.0,0.0,6.0,0.0,1.0,0.008976157082748949,0.194109396914446,1.0,0.0,0.0,0.0,5.312965722801788,0.28125,0.0,0.09375,0.59375,0.6,32.0,32.0,32.0,0.0,0.03367348944284912,1.5043386557853309,157.79176534577937,0.9409479527364746,32.0,0.0,0.89,0.91,0.757,0.928,0.841,0.879,0.814,0.834,0.851,0.874,0.93,0.943,0.937,0.92,0.823,0.914,0.918,0.811,0.893
CHD_49,49.0,,7.32,0.00292007128709514,64.0,1.893195435978104,2.5628415300546448,0.15300546448087432,0.42714025500910746,25.0,0.390625,183.0,-0.44481520768489163,6.0,53802.0,35.25,44.75,28.0,0.9994614371162428,7.32,7.249688242235482,8.996571867791916,12.332668105200609,0.8003141913961688,0.0,-0.9027465597450686,-0.2596186015389763,0.5187992566967248,33.346014175476924,0.8418554535649594,0.15174888675233839,0.0,18.0,11.0,17.0,25.0,0.0,49.0,4.0,7.0,0.0,0.1366120218579235,0.15300546448087432,0.0,1.0,0.0,0.03825136612021858,3.7346938775510203,0.72,0.44,0.68,1.0,0.26666666666666666,25.0,25.0,25.0,0.0,0.04128415683857757,0.0,7.948433807990099,0.9579835805917343,25.0,0.0,0.773,0.794,0.687,0.791,0.656,0.748,0.766,0.696,0.758,0.757,0.777,0.788,0.792,0.721,0.719,0.77,0.774,0.7,0.763
flags,19.0,,3.235294117647059,0.04826434554580711,110.0,0.7635135453164861,3.4272727272727272,0.19090909090909092,0.4896103896103896,34.0,0.3090909090909091,110.0,-0.10935972159807618,7.0,14630.0,6.333333333333333,6.333333333333333,21.0,0.9997615248696312,3.235294117647059,2.5346119929453264,3.164887794198139,12.35735294117647,0.8196534099904554,0.7254198270389354,14.26395028431904,93.15363636363637,3.1443066238501336,20.0,232.66188284490278,0.5746356978376795,5.0,33.0,20.0,30.0,34.0,9.0,10.0,8.0,14.0,0.2631578947368421,0.3090909090909091,0.19090909090909092,0.47368421052631576,0.5263157894736842,0.3,0.12727272727272726,5.7894736842105265,0.9705882352941176,0.5882352941176471,0.8823529411764706,1.0,0.38095238095238093,34.0,34.0,34.0,0.0,0.06720263979364773,0.8652837122857225,3.694660881751107,1.2300450570481718,34.0,0.0,0.819,0.815,0.705,0.746,0.736,0.826,0.756,0.726,0.761,0.777,0.856,0.857,0.858,0.672,0.622,0.822,0.827,0.768,0.816
proteins_virus,1538.0,0.014227359823945457,5.636363636363637,0.005253069324758844,62.0,0.31221476788206587,1.2419354838709677,0.3548387096774194,0.20698924731182797,11.0,0.1774193548387097,62.0,-2.014093126918324,6.0,572136.0,2.0689655172413794,30.0,22.0,0.9969954265557692,5.636363636363637,1.2986583466414305,9.38621601897464,9.994949494949495,0.6124414377225268,0.0,3.951933500882341,14.162656526196555,0.9635465963874047,18.833333333333332,12.138600212112452,0.20559250818508307,0.0,9.0,5.0,7.0,11.0,0.0,1538.0,1.0,3.0,0.0,0.1774193548387097,0.3548387096774194,0.0,1.0,0.28608582574772434,0.04838709677419355,0.04031209362808843,0.8181818181818182,0.45454545454545453,0.6363636363636364,1.0,0.06666666666666667,11.0,11.0,11.0,0.0,0.020977218293877935,0.15226863812909577,6.0943002771252255,3.571028911686592,11.0,0.0,0.955,0.965,0.681,0.697,0.488,0.956,0.731,0.755,0.748,0.815,0.974,0.852,0.977,0.654,0.878,0.948,0.946,0.844,0.963
VirusGO,749.0,,7.555555555555555,0.0020887311548209685,64.0,0.8205277782067153,1.1029411764705883,0.29411764705882354,0.18382352941176472,9.0,0.140625,68.0,5.297587658243396,6.0,305592.0,8.0,21.666666666666668,20.0,0.9366673818775632,7.555555555555555,3.5310559006211175,9.004658385093169,6.339181286549707,0.6091992211967092,0.0,0.0,0.014882588549438526,0.0,21.5,0.06773378409582016,0.26086290964720815,0.0,6.0,2.0,6.0,9.0,0.0,749.0,2.0,1.0,0.0,0.1323529411764706,0.29411764705882354,0.0,1.0,0.376502002670227,0.014705882352941176,0.09078771695594126,0.6666666666666666,0.2222222222222222,0.6666666666666666,1.0,0.13333333333333333,9.0,9.0,9.0,0.0,0.002252882654942396,3.7765955215573523,7.04132423011327,0.30614141120130506,9.0,0.0,0.993,0.985,0.909,0.957,0.921,0.976,0.957,0.98,0.973,0.979,0.988,0.983,0.988,0.928,0.987,0.984,0.986,0.943,0.988
GnegativePseACC,440.0,,30.6,0.006139727801119093,256.0,1.3242091007375567,1.056644880174292,0.3681917211328976,0.1320806100217865,15.0,0.05859375,459.0,12.866668772650186,8.0,1615680.0,59.666666666666664,152.0,169.0,0.9647854874772229,30.6,17.20730120665831,43.12375002154282,63.70004824151883,0.45076586569958477,0.0,11.41153459106574,0.2272654287977817,2.367570947425031,168.87595244335967,0.19738424293560575,0.05683240450033059,0.0,10.0,5.0,8.0,12.0,0.0,440.0,10.0,4.0,0.0,0.032679738562091505,0.3681917211328976,0.0,1.0,0.6681818181818182,0.008714596949891068,1.0431818181818182,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.8,0.35714285714285715,15.0,15.0,15.0,0.0,0.011670013770218722,4.6090782698375845,48.70701523736939,0.2314150183814,15.0,0.0,0.918,0.882,0.804,0.907,0.265,0.916,0.842,0.813,0.883,0.936,0.926,0.923,0.927,0.82,0.698,0.888,0.897,0.728,0.895
